homelat,homelon,type,n
24.0529,80.6144,Coal,50
25.7848,91.7895,Hydro,60
17.6219,80.6936,Coal,720
17.6219,80.6936,Coal,1000
21.2818,79.116,Coal,1340
27.0931,70.9996,Wind,75.6
9.3381,78.3917,Solar,648
23.35,70.388,Solar,15
8.3091,77.6191,Wind,6
27.224,74.2524,Solar,5
27.2089,74.2553,Solar,40
21.317,78.6025,Solar,2
21.3174,78.6001,Solar,2
23.443,73.2014,Solar,10
18.6051,75.0381,Solar,5.2
27.3225,71.9951,Solar,20
27.3247,71.991,Solar,10
24.0682,76.589,Solar,25
23.3578,70.0548,Solar,5
23.3618,70.0536,Solar,15
27.301,72.3236,Solar,1
21.167,74.3272,Wind,20.8
26.6797,71.026,Wind,24
11.0118,79.5898,Solar,1
23.3183,68.6988,Wind,33
10.6558,77.2471,Wind,56.25
11.0951,76.6709,Wind,3
8.1689,77.7126,Nuclear,2000
25.6732,76.1901,Coal,25
27.0221,94.8833,Gas,142.2
24.7971,78.6463,Coal,1980
21.757,83.4573,Coal,800
31.7196,77.212,Hydro,126
14.1704,74.8388,Hydro,55
8.9969,77.537,Wind,10
26.5114,71.4974,Wind,20
18.9002,73.2032,Oil,40
17.4462,75.7161,Biomass,31.5
24.587,93.6696,Hydro,105
34.2189,74.5281,Hydro,105
16.3125,77.7773,Hydro,240
11.6425,77.7583,Hydro,120
9.9624,76.957,Hydro,180
17.8608,81.6814,Hydro,460
9.087,77.6055,Wind,9.7
30.4368,74.3316,Solar,2.1
29.8509,75.4023,Solar,20
31.2496,75.4826,Solar,1
22.1694,69.827,Wind,50.4
27.0321,71.5322,Solar,1
17.8613,74.0733,Wind,2.4
12.5571,80.1754,Nuclear,440
18.5323,82.4645,Hydro,114.75
12.2135,77.0225,Hydro,4.5
25.5623,77.8348,Hydro,60
22.8395,86.0613,Coal,540
24.0077,82.4172,Coal,600
28.49,76.351,Coal,1320
20.8558,78.5814,Biomass,15
23.5443,74.5062,Hydro,140
19.0162,72.8963,Oil,22
24.2021,80.7997,Coal,31.4
23.7872,86.8284,Hydro,63.2
23.8209,86.76,Coal,1050
32.0041,77.2494,Hydro,186
15.3773,76.4591,Hydro,9
30.7294,78.4238,Hydro,394
12.9821,74.8496,Gas,166.5
18.3879,73.3529,Gas,388
24.7176,75.9522,Coal,25
13.6763,75.0462,Hydro,9
19.2345,73.8144,Hydro,6
19.7235,79.1761,Coal,50
9.3294,76.8798,Hydro,12
19.703,79.2206,Coal,45
22.0708,82.6022,Coal,1000
